city_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
280,Turukhansk,RU,2022-01-26 00:44:26,65.8167,87.9833,-17.39,100,91,6.33
281,Dovolnoye,RU,2022-01-26 00:44:26,54.4958,79.6671,9.09,95,100,7.87
282,Zyryanka,RU,2022-01-26 00:45:27,65.75,150.85,-34.73,99,87,6.24
283,Vao,NC,2022-01-26 00:45:27,-22.6667,167.4833,77.34,71,63,9.08
284,Xichang,CN,2022-01-26 00:45:27,27.8964,102.2634,46.11,89,87,4.18
285,Mantua,IT,2022-01-26 00:45:28,45.1667,10.7833,41.43,91,0,3.0
286,Maloy,NO,2022-01-26 00:45:28,61.9353,5.1136,46.06,95,96,11.01
287,Port Elizabeth,ZA,2022-01-26 00:45:29,-33.918,25.5701,70.11,88,100,9.22
288,Ambon,ID,2022-01-26 00:45:29,-3.6954,128.1814,89.74,66,20,4.61
289,Coahuayana,MX,2022-01-26 00:45:30,18.7333,-103.6833,85.48,74,0,3.04
